miRNA,Target / Target pathway,Support,Source,Experiment(s),Reference - PMID,,
hsa-miR-16-5p,KANK4,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,KCNV2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,LPIN1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,MAPK1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,MAPRE1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,MAT2A,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,MOB3B,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,NARF,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,NOTCH2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,OCRL,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,OSBPL10,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PARP2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PGM2L1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PHLDA3,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PI4KB,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,BDNF,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PRKCE,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ANK2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,DDX6,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,DENND1B,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,DLD,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,DNAH2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,DSCAM,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,EN2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,FBXL14,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,FGF9,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,GJB6,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,GPR153,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,HM13,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,HR,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,INTS3,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,IST1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,JMJD1C,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,LRP11,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,MED1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,KMT2B,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,KMT2D,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,NASP,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,NF1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,NFAT5,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,NRG1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,YOD1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,YTHDF2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ZC3H11A,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ZDHHC13,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ZKSCAN1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,NUP50,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,TENM4,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PHF21A,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PUM2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,RBM12,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,RBM12B,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,RNF180,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SATB1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SLC13A5,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,STARD13,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,STXBP3,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SUCLA2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SYNRG,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,TDRD1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,UBXN10,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,WDR47,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ABI2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ADCY2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ADSS,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ATXN7L1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,BICD1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,BSN,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,POMGNT2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CDC23,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CHD2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CHD5,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CNDP1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CNPPD1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,A2M,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ABCA4,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ABCF1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,AFF4,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,AMOT,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,AP1AR,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,AP1G1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ARFGEF1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ARHGAP33,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ARMC8,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ARPP19,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CPED1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CACNA1C,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CCDC85C,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CEP350,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,COPA,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CSMD3,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CTDSPL2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,DCBLD2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,DENND4B,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,E2F7,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,FADS1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,TRPM3,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,UBE2H,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,UBE2V1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,UPK2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,VPS53,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,WWC1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ZBTB40,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ZC3H15,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ZNF609,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ZNRF2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ZSWIM1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PAN3,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PDP1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PIGA,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PIGO,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PPTC7,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PRKRA,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PUM1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,QSER1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,RAB30,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,RNF38,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,RYBP,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SEC14L1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SEMA4D,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SESN2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SLC11A2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SLC35A4,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SLC35E2B,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SLC44A1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SLC4A10,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SMG1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SP1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SP4,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SPTLC2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SYPL1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,TBC1D10B,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,TFAP2B,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,TMED8,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,FKBP5,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,FMN1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,FNIP2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,GPLD1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,GPSM2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,GRIN3A,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,HIF1AN,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,HPGD,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,INTS8,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ISPD,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,KCNQ2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CEMIP,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,LRP3,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,MED13,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,MON2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,MTPN,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,MXD1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,MYH10,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,NAV2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,NBEA,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,NCDN,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PAK2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,GNPDA1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,BACE2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,C20orf194,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,TMEM250,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CELSR3,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CREBL2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,DLG2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ENTPD4,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ERGIC1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,TMEM255A,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,FASTK,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ALS2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,APC,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ARHGAP5,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SLC16A2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SLC6A11,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SLC7A5,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SPTBN1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SSPN,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,STAU1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,TAP2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,THAP2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,TMEM115,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,TMEM67,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,TMEM87A,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,TSC22D3,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,UNC5C,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,WDR55,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,GTF2H4,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,HEXA,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ICMT,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,IQGAP1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CCAR2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,KIF17,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,LHFPL4,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,NIPA2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,NIPBL,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,NOD2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,NR2C2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PDP2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PHKB,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PLEKHH1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PRICKLE3,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PRMT3,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,AGPAT1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ANKRD9,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,GRHL1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,INTS4,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,KLHL18,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,LRRC42,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,MAP3K7,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,MDM4,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,MFF,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,MKLN1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,NALCN,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,NRXN2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,OTOF,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,TPR,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ZNF281,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,B3GALNT1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,BCORL1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,BIRC6,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,BYSL,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CALR,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CDH13,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,COG5,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CPNE5,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CSNK1E,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CSNK2A1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,DEDD,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,EIF5A2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,EPHA6,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,EXOC5,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,CCSER2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,MINDY2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,POLR3B,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,PYCR2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,RAB22A,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,RALGAPB,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,RAPGEFL1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,RNF32,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,RPS6KC1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SEL1L,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SLC10A3,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SLC1A5,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SLC29A3,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SLC29A4,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SLC4A1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SLC4A3,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SLC5A3,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SLC9A1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SMAD5,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SMARCD2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,SPAG6,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ST6GALNAC4,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,TANC2,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,TEP1,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,ABCC5,V,miRcode,N/A,N/A,,
hsa-miR-16-5p,DMTF1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,E2F7,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,EDA,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,ACTR2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,ADAMTS5,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,ANKRD46,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,AP2A1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,TMCC1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,TMEM255A,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,UBE2V1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,UBN2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,UBR3,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,USP15,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,VEGFA,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,WWC1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,YWHAQ,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,ZCCHC2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,ZCCHC3,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,ARHGAP5,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,ARL2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,ASH1L,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,B4GALT1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,BCL2L2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,BDNF,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,C1orf21,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,CAPZA2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,CCND2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,CCNT2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,CDC25A,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,CDK5R1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,CLCN3,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,CLCN5,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,COPS2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,CPEB2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,DDX3X,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,DIXDC1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,GPATCH8,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,HAUS3,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,HELZ,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,KCNJ2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,LRP6,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,LUZP1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,MAFK,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,MMD,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,MOB4,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,MYB,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,NUP50,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,PAFAH1B1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,PAPPA,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,PCDH9,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,PIM1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,PLAG1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,PPP6C,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,PRDM4,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,RAB10,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,RAD23B,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,RBBP6,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,RNF111,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,RSBN1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,RUNX1T1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,SEMA6D,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,SIAH1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,SLC12A2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,SLC1A2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,SLC9A6,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,SMAD5,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,SP5,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,SPRED1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,SSR1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,STXBP3,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,SYPL1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,ERC2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,BACH2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,IVNS1ABP,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,SLC11A2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,GALNT1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,FBXO21,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,USP9X,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,THAP6,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,SIPA1L2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,ACVR2B,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,IST1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,SLC4A4,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,MAP2K4,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,SRSF11,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,TACC1,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,NFATC3,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,QKI,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,CREBRF,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,GRAMD2B,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,CDK17,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,PURB,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,DYRK1A,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,ACSS2,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,PPP1R12B,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,ATP7A,V,BCmicrO,N/A,N/A,,
hsa-miR-16-5p,CUL5,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,SERBP1,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,AKAP11,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,YME1L1,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,PRRC2C,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,DDX3X,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,ACAP2,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,YWHAZ,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,PPP2R5C,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,QKI,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,ACTR2,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,MBNL1,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,CAPRIN1,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,RYBP,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,HNRNPA3P1,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,HNRNPA3,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,SRSF1,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,PAFAH1B1,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,CANX,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,CUL3,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,SPTLC1,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,RNF38,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,ATRX,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,CAPZA2,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,ARFGEF1,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,EXOC5,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,SYPL1,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,COPS2,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,STXBP3,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,ZC3H11A,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,BZW1,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,DICER1,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,MED13,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,TBL1XR1,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,CBFB,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,PURA,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,BMI1,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,PAK1,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,CLCN3,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,TJP1,V,CoMeTa,N/A,N/A,,
hsa-miR-16-5p,OGT,V,CoMeTa,N/A,N/A,,
